time_s,q_dot_e
145.833215,10.58538135
146.9998807,10.59281877
148.1665464,10.60009606
149.3332121,10.60721668
150.4998779,10.61418399
151.6665436,10.62100131
152.8332093,10.62767185
153.999875,10.63419878
155.1665407,10.6405852
156.3332065,10.64683411
157.4998722,10.6529485
158.6665379,10.65893124
159.8332036,10.66478518
160.9998693,10.6705131
162.1665351,10.67611769
163.3332008,10.68160162
164.4998665,10.68696749
165.6665322,10.69221783
166.8331979,10.69735514
167.9998637,10.70238184
169.1665294,10.70730032
170.3331951,10.71211292
171.4998608,10.7168219
172.6665265,10.7214295
173.8331923,10.7259379
174.999858,10.73034924
176.1665237,10.73466561
177.3331894,10.73888905
178.4998551,10.74302156
179.6665209,10.7470651
180.8331866,10.75102159
181.9998523,10.7548929
183.166518,10.75868086
184.3331837,10.76238727
185.4998495,10.76601388
186.6665152,10.76956242
187.8331809,10.77303456
188.9998466,10.77643194
190.1665123,10.77975619
191.3331781,10.78300886
192.4998438,10.78619151
193.6665095,10.78930563
194.8331752,10.79235272
195.9998409,10.7953342
197.1665067,10.79825149
198.3331724,10.80110597
199.4998381,10.803899
200.6665038,10.8066319
201.8331695,10.80930596
202.9998353,10.81192245
204.166501,10.81448261
205.3331667,10.81698765
206.4998324,10.81943876
207.6664981,10.8218371
208.8331639,10.82418381
209.9998296,10.82647999
211.1664953,10.82872674
212.333161,10.83092511
213.4998267,10.83307616
214.6664925,10.8351809
215.8331582,10.83724032
216.9998239,10.8392554
218.1664896,10.84122711
219.3331553,10.84315636
220.4998211,10.84504408
221.6664868,10.84689115
222.8331525,10.84869846
223.9998182,10.85046686
225.1664839,10.85219719
226.3331497,10.85389027
227.4998154,10.85554689
228.6664811,10.85716785
229.8331468,10.85875391
230.9998125,10.86030583
232.1664783,10.86182433
233.333144,10.86331014
234.4998097,10.86476396
235.6664754,10.86618649
236.8331411,10.86757838
237.9998069,10.86894031
239.1664726,10.87027292
240.3331383,10.87157684
241.499804,10.87285269
242.6664697,10.87410107
243.8331355,10.87532257
244.9998012,10.87651777
246.1664669,10.87768725
247.3331326,10.87883154
248.4997983,10.8799512
249.6664641,10.88104675
250.8331298,10.88211872
251.9997955,10.88316761
253.1664612,10.88419391
254.3331269,10.88519812
255.4997927,10.88618072
256.6664584,10.88714215
257.8331241,10.88808289
258.9997898,10.88900337
260.1664555,10.88990404
261.3331213,10.89078532
262.499787,10.89164762
263.6664527,10.89249136
264.8331184,10.89331693
265.9997841,10.89412473
267.1664498,10.89491514
268.3331156,10.89568853
269.4997813,10.89644527
270.666447,10.89718572
271.8331127,10.89791023
272.9997784,10.89861914
274.1664442,10.89931278
275.3331099,10.8999915
276.4997756,10.9006556
277.6664413,10.9013054
278.833107,10.90194122
279.9997728,10.90256334
281.1664385,10.90317207
282.3331042,10.9037677
283.4997699,10.9043505
284.6664356,10.90492076
285.8331014,10.90547873
286.9997671,10.9060247
288.1664328,10.90655891
289.3330985,10.90708162
290.4997642,10.90759308
291.66643,10.90809352
292.8330957,10.90858319
293.9997614,10.90906232
295.1664271,10.90953113
296.3330928,10.90998985
297.4997586,10.9104387
298.6664243,10.91087788
299.83309,10.91130761
300.9997557,10.91172808
302.1664214,10.9121395
303.3330872,10.91254206
304.4997529,10.91293596
305.6664186,10.91332138
306.8330843,10.9136985
307.99975,10.9140675
309.1664158,10.91442855
310.3330815,10.91478184
311.4997472,10.91512751
312.6664129,10.91546575
313.8330786,10.9157967
314.9997444,10.91612053
316.1664101,10.91643738
317.3330758,10.91674742
318.4997415,10.91705078
319.6664072,10.9173476
320.833073,10.91763804
321.9997387,10.91792223
323.1664044,10.91820029
324.3330701,10.91847237
325.4997358,10.9187386
326.6664016,10.91899909
327.8330673,10.91925397
328.999733,10.91950336
330.1663987,10.91974739
331.3330644,10.91998616
332.4997302,10.92021979
333.6663959,10.92044839
334.8330616,10.92067207
335.9997273,10.92089094
337.166393,10.92110509
338.3330588,10.92131463
339.4997245,10.92151966
340.6663902,10.92172028
341.8330559,10.92191658
342.9997216,10.92210865
344.1663874,10.92229658
345.3330531,10.92248047
346.4997188,10.92266041
347.6663845,10.92283646
348.8330502,10.92300873
349.999716,10.68102956
351.1663817,10.44946964
352.3330474,10.22788033
353.4997131,10.01583232
354.6663788,9.812914758
355.8330446,9.618734516
356.9997103,9.432915375
358.166376,9.255097318
359.3330417,9.084935831
360.4997074,8.922101234
361.6663732,8.766278042
362.8330389,8.617164356
363.9997046,8.474471274
365.1663703,8.337922335
366.333036,8.207252982
367.4997018,8.082210048
368.6663675,7.96255127
369.8330332,7.848044813
370.9996989,7.738468827
372.1663646,7.633611013
373.3330304,7.533268214
374.4996961,7.437246021
375.6663618,7.345358394
376.8330275,7.257427306
377.9996932,7.173282395
379.166359,7.092760633
380.3330247,7.015706013
381.4996904,6.941969246
382.6663561,6.87140747
383.8330218,6.803883975
384.9996876,6.739267937
386.1663533,6.677434165
387.333019,6.61826286
388.4996847,6.561639379
389.6663504,6.507454018
390.8330162,6.455601795
391.9996819,6.405982247
393.1663476,6.358499241
394.3330133,6.31306078
395.499679,6.269578828
396.6663448,6.227969141
397.8330105,6.188151104
398.9996762,6.150047569
400.1663419,6.113584713
401.3330076,6.078691892
402.4996734,6.045301501
403.6663391,6.013348849
404.8330048,5.982772028
405.9996705,5.953511798
407.1663362,5.925511469
408.333002,5.89871679
409.4996677,5.873075848
410.6663334,5.848538966
411.8329991,5.825058603
412.9996648,5.802589269
414.1663306,5.78108743
415.3329963,5.760511426
416.499662,5.740821393
417.6663277,5.721979183
418.8329934,5.703948289
419.9996592,5.686693777
421.1663249,5.670182218
422.3329906,5.654381621
423.4996563,5.639261373
424.666322,5.62479218
