time_s,mdot_kg_s
491.1662681,-0.000181651
492.3329338,-0.00017383
493.4995995,-0.000166345
494.6662652,-0.000159182
495.8329309,-0.000152328
496.9995967,-0.000145769
498.1662624,-0.000139493
499.3329281,-0.000133486
500.4995938,-0.000127739
501.6662595,-0.000122238
502.8329253,-0.000116975
503.999591,-0.000111938
505.1662567,-0.000107118
506.3329224,-0.000102506
507.4995881,-9.80922E-05
508.6662539,-9.38685E-05
509.8329196,-8.98267E-05
510.9995853,-8.59589E-05
512.166251,-8.22576E-05
513.3329167,-7.87158E-05
514.4995825,-7.53264E-05
515.6662482,-7.20829E-05
516.8329139,-6.89792E-05
517.9995796,-6.6009E-05
519.1662453,-6.31668E-05
520.3329111,-6.04469E-05
521.4995768,-5.78442E-05
522.6662425,-5.53535E-05
523.8329082,-5.297E-05
524.9995739,-5.06892E-05
526.1662397,-4.85066E-05
527.3329054,-4.6418E-05
528.4995711,-4.44193E-05
529.6662368,-4.25067E-05
530.8329025,-4.06764E-05
531.9995683,-3.8925E-05
533.166234,-3.72489E-05
534.3328997,-3.5645E-05
535.4995654,-3.41102E-05
536.6662311,-3.26415E-05
537.8328969,-3.1236E-05
538.9995626,-2.9891E-05
540.1662283,-2.8604E-05
541.332894,-2.73723E-05
542.4995597,-2.61937E-05
543.6662255,-2.50658E-05
544.8328912,-2.39865E-05
545.9995569,-2.29537E-05
547.1662226,-2.19654E-05
548.3328883,-2.10196E-05
549.4995541,-2.01145E-05
550.6662198,-1.92484E-05
551.8328855,-1.84196E-05
552.9995512,-1.76265E-05
554.1662169,-1.68675E-05
555.3328827,-1.61412E-05
556.4995484,-1.54462E-05
557.6662141,-1.47811E-05
558.8328798,-1.41447E-05
559.9995455,-1.35356E-05
561.1662113,-1.29528E-05
562.332877,-1.23951E-05
563.4995427,-1.18614E-05
564.6662084,-1.13506E-05
565.8328741,-1.08619E-05
566.9995399,-1.03942E-05
568.1662056,-9.94663E-06
569.3328713,-9.51834E-06
570.499537,-9.1085E-06
571.6662027,-8.7163E-06
572.8328685,-8.34099E-06
