Qe_PHYS_W,Qe_ANN_W
6496.063979,6583.871838
10207.54627,10234.40401
15407.99112,15473.36816
9618.950599,9534.546117
7329.86016,7333.289674
15734.4012,15748.17511
19250.32305,19283.62211
22067.15524,22090.09125
9771.682724,9755.811277
6841.270501,6854.025067
24179.97931,23891.73014
16823.26692,16607.72627
6281.362999,6370.603254
5690.713442,5773.468291
6853.870259,6899.461327
14332.85557,14399.86493
11022.80972,11004.27422
9236.52103,9272.306758
15778.15232,15815.68414
25314.23495,25238.21542
9281.487493,9265.209072
7705.292021,7773.87356
6724.86654,6803.685136
6899.610903,6946.269972
24307.01985,24153.03437
17773.57953,17836.26785
9538.844606,9543.450763
7742.489354,7710.545416
5325.864061,5276.925251
11877.36457,11931.85893
7779.626054,7844.637932
9893.304284,9844.873215
5712.053402,5739.278003
14623.43944,14739.80409
9342.369546,9334.871651
7055.881961,7019.989509
7904.378594,7938.340586
8380.86379,8468.316655
13152.38793,13053.03413
17758.81329,17727.49895
23131.14507,23009.6115
22455.20742,22386.59027
5817.685866,5904.488528
7549.332584,7484.924023
7169.606994,7130.078718
6392.887357,6463.897774
7618.055351,7568.904284
8689.476456,8757.261784
19611.42704,19693.87503
6633.520201,6690.49317
8472.588344,8534.361692
8067.79346,8137.320273
15538.37065,15539.52494
9258.553568,9279.834477
10359.36086,10294.72348
24032.00773,23842.82354
5355.628395,5273.428153
17880.64755,17915.68211
15817.35669,15797.58803
31213.69113,31046.88958
5363.47944,5388.210116
11645.45633,11744.99618
8129.008932,8181.274332
8922.341165,9046.579905
10923.94304,10896.84057
24747.04241,24567.25851
16846.88213,16907.17225
8934.577097,9012.229163
20819.46493,20938.87234
5885.202342,5948.453986
7784.020745,7808.816378
18402.51618,18217.79142
11471.02633,11609.80556
7648.72286,7653.531679
17576.75008,17382.61807
7263.410026,7198.071627
11553.72779,11602.2497
7392.859457,7391.849932
5665.460654,5727.348376
9849.851592,9861.7143
7496.787346,7432.021415
23293.82154,23102.85155
7377.537679,7350.027359
6514.067356,6557.905174
6237.139885,6337.439904
5931.435121,5937.255074
7641.105668,7646.468694
6626.561876,6710.454695
5652.77072,5664.330175
6857.59954,6892.151105
20410.77515,20745.24003
16722.99466,16786.3692
11902.54512,11949.67547
5990.176027,6076.047578
7576.487629,7486.942034
10235.20348,10029.34934
7720.383343,7680.24478
8479.616803,8504.038356
6981.993107,6998.685689
9410.576019,9407.175018
24671.23666,24612.84405
12959.91813,12772.01997
7935.354481,8027.238227
6508.487089,6575.387763
7340.61494,7271.874751
23683.20918,23438.80001
6435.538429,6537.074038
10865.08532,10773.24494
8406.996647,8510.468148
17704.27421,17647.13031
15588.86324,15720.35963
6006.199494,6149.166863
7998.575542,8041.239202
14525.20593,14656.85987
7833.391173,7821.460571
17468.1215,17459.01027
8573.24423,8592.539081
8180.98248,8236.547842
7771.549988,7770.959183
7278.312329,7299.168893
9866.664997,9684.981185
5800.217514,5828.650179
32020.61468,31668.97164
7781.427427,7744.476091
9907.620139,9817.068944
6401.032553,6469.587719
11433.45947,11524.52178
8403.600186,8456.091319
7657.743508,7689.164383
7673.405302,7613.084168
8802.248965,8908.320624
17575.13869,17536.16786
12728.28328,12755.27254
13296.361,13154.63288
18501.63869,18607.85315
10788.72297,10682.46052
6228.5952,6328.622142
6570.999804,6646.871693
12922.94342,12947.88387
10319.50838,10259.00647
30067.35496,29917.22758
19249.62721,19375.10975
7460.569442,7393.244437
22920.73072,22781.86506
6190.428262,6246.918462
12605.30229,12593.04828
21155.02497,21436.0754
