A,A_pv,T_h,tau,Qe,COP_th
3.666809014,28.33713282,361.3168625,126.9463716,25567.747639049263,0.3764120688942768
5.673087072,29.80176467,367.1334181,549.1648117,7460.569442175644,0.4143906033022491
10.7768759,27.22961263,364.1508669,289.5574311,13317.273948209902,0.40913462750547297
9.44653924,21.20319284,362.9892618,156.6800008,22772.95660019037,0.39333803197789896
9.164043647,10.82397341,367.4945052,244.582345,16668.461969605458,0.4116678006022809
2.174888843,25.60892948,361.2262745,207.5609849,16999.21378274035,0.3966459298771748
7.513087265,26.73861306,361.5714773,286.1942037,12729.188843301874,0.40374919893528216
9.506934188,29.26748708,364.0059295,186.3385015,20054.48379279932,0.40138487970325104
0.956086422,9.97105678,361.0545777,506.5952042,7141.139005865078,0.40392322102192396
2.164524052,17.16457822,365.5540995,448.6699655,8870.725278,0.41241384256182095
3.037487299,24.90723768,365.723257,543.3904023,7350.466924657552,0.41274388748491375
2.267846817,7.217598895,367.4205004,338.5469163,12126.386002567746,0.41385328721463394
4.170625348,16.70318518,365.3029137,673.3739542,5885.086861280601,0.41219229093414467
4.008197741,28.04501916,360.1988759,433.1188254,8177.150587711812,0.4015908085786629
7.900521251,6.753332498,361.1227168,351.4685916,10295.584503428992,0.40371275128343803
11.62179742,19.49710638,367.4641858,582.6165494,7072.647939574172,0.4147258207383213
6.034673937,24.40384968,360.1426943,165.4863981,20285.264372999605,0.3880160805983155
10.08960049,24.7172443,361.8611259,418.4617544,8808.40306,0.40580315995017513
7.587377192,26.5612128,364.8248573,347.5429416,11277.927712506573,0.411006897
4.990861286,15.07293425,365.2154482,620.4943791,6375.895968797695,0.412066416
5.883645079,10.44382864,361.8932989,547.6085681,6738.527363824726,0.40598042361467984
9.94557015,6.737230076,360.5324709,456.6601983,7822.297603,0.4025735947697734
2.437140335,25.44126895,362.4826774,186.3231598,19250.323053840668,0.3963477787397692
11.11486929,8.303824791,362.2777607,192.1680371,18820.387510539014,0.3991742243858205
2.093488713,4.549848425,360.4431633,204.7848826,16877.382075215588,0.3942171475549022
1.397877645,19.36973922,365.4457162,336.1782741,11777.877615389292,0.4113953228356769
4.361500286,17.11768216,367.0000395,610.6789761,6693.670259297436,0.4142613607316254
1.286920695,8.71895865,361.893959,249.6325455,14551.414660751563,0.40172659394888577
7.1978057,14.82282307,360.394033,324.1684831,10953.834143795038,0.4015013594405404
6.666033026,6.643469475,366.6676684,131.1771199,28067.17027422844,0.3891273443433686
11.15822893,6.576941681,366.7485996,641.5918864,6343.079565211011,0.4139954769293627
11.77119162,24.85267289,366.2358203,485.4899656,8304.882334188696,0.413376785
9.524759171,7.498357419,364.2885443,408.5337221,9504.392495561551,0.4105064162135745
10.40480801,16.03278351,363.080716,483.7379627,7830.995626742522,0.4084577678007383
3.784389156,7.633978685,363.8230182,350.1336212,10967.822200629042,0.4092817336163614
3.404783334,13.55530706,362.9311396,296.4973386,12665.948906401598,0.40665962213351303
5.049997693,21.82932698,362.3750118,669.314756,5573.738185,0.4070525576451813
11.06309782,16.50367114,362.6268896,421.2608739,8901.871559619725,0.4074748551876927
10.30387747,20.96727085,366.4351346,419.6333656,9640.087931,0.41352816921387897
7.888677448,11.49204597,365.8791453,221.4427559,17771.15783634693,0.40811903750896966
8.581739043,26.37869578,361.0568227,468.6278443,7720.546102150679,0.403944346
1.86507238,22.86860634,360.6759458,661.5638936,5419.650405,0.40300910456372785
2.338968816,28.93088639,366.4070734,456.2092027,8862.987946366185,0.413503843
9.565389972,24.67298581,367.5682165,252.0300123,16221.383488300824,0.4121573149706673
7.408850028,6.471279137,364.9293256,202.7747825,18914.73263787481,0.40480493312747934
7.127446848,18.88319336,363.7278812,413.5790653,9281.487493,0.40954683758288446
9.355941968,24.78036263,363.9372257,459.7560649,8388.133692073518,0.4100052657628882
11.22984584,7.113073301,360.9368285,152.6254071,22240.235416215433,0.3880488567686285
8.168068792,14.88381582,366.1945713,502.738848,8014.048372,0.4133315411402739
4.536742893,27.35753023,366.1002572,262.3209645,15188.148057488199,0.41061014401282264
4.878950599,12.17543949,361.2608932,188.6700235,18599.57042304279,0.3951370832716387
11.28462759,15.38550497,363.0665586,537.8114252,7042.0620344299305,0.40845256004563724
6.993522331,28.33963966,366.242412,387.6217385,10395.18206764742,0.41317425659717255
5.015226103,29.65242017,365.7420819,670.716796,5957.575084894651,0.41278744447011795
2.126960065,26.11387566,365.0965911,173.153007,21603.57401210106,0.39791137126480897
7.3884896,21.83850549,360.0984215,372.5907771,9475.333225412813,0.4011295366891009
10.04447453,11.67933466,363.6683847,365.3884762,10486.169925077547,0.4092686769857678
4.181586784,27.87948928,366.2503523,166.3530466,22954.14518869373,0.3991581149785124
11.96678817,26.85920063,362.2712675,602.1379478,6181.181533322996,0.4068280026900925
1.991898757,29.97672299,365.3254779,490.0750093,8087.947685814522,0.4121622834825452
1.812936142,27.32286837,360.231996,244.4968348,14273.660854071351,0.3975009931792209
2.401845002,24.19596646,361.5856338,646.3829363,5668.634166338269,0.40527847676866424
8.15021324,4.940230473,360.0434387,130.9947502,24461.980725886107,0.3773388467450878
7.58636199,24.83852708,361.9084226,609.6453058,6055.129925442082,0.40602453055616494
1.44099773,24.82506019,367.4223634,563.2650395,7309.989624690437,0.41466985532939604
8.618952781,25.78748569,360.3212104,221.0692664,15796.408385966284,0.39732880457031994
2.199145208,17.11780575,365.961505,478.0071067,8391.298972954712,0.4129956007753605
10.33266832,8.035537803,365.8769687,215.8248945,18216.43785491832,0.40787578918970996
3.832498015,22.45752213,367.8416383,466.9261636,8879.520187248821,0.4150053651785745
1.410403528,20.02403322,360.3388044,630.4874268,5639.555829,0.4020994406645598
8.747276793,8.501324007,360.733768,210.1199373,16723.903063155165,0.3974065943309306
11.77630441,15.9225767,366.2726476,481.8450053,8373.242014309802,0.41341865241663167
7.21102728,7.773386621,367.5681956,280.8055795,14611.422557743119,0.4131368027536527
7.273792817,22.19417456,365.1938652,664.3566458,5952.533858005766,0.4120381690948545
2.462516687,17.2171712,363.2322751,384.5012377,9872.354579020932,0.40841885478110135
2.135236293,7.486459857,362.2246044,282.8227623,13041.856156769643,0.4045438171632249
5.592515993,19.88567622,365.0770329,347.086538,11346.031766574755,0.411326456
5.378370826,9.658341694,364.70645,290.2245468,13423.095192724895,0.4097833956384824
1.203870144,14.87840115,363.7930614,235.3557209,16011.123131782408,0.40431294750788593
7.211528851,18.71006941,365.6160174,488.7690893,8155.031013697716,0.41258569488653035
8.107250233,12.22156795,366.2994578,429.4866302,9396.186304818648,0.4133786940667322
5.631883786,20.2763245,362.8852587,407.6435468,9248.871157,0.40792692478717185
9.051103711,27.04647505,367.3684576,402.1797551,10223.038801831888,0.4144701352718337
6.627081285,24.79663068,362.5156055,602.4294174,6211.8564302965615,0.4073467104418928
6.334386441,7.012274833,360.5764732,605.1959266,5909.968976895567,0.4027442155065482
1.422360669,11.29589734,362.6730403,203.7966671,17815.244906903816,0.39874870260478057
4.315605742,23.31000673,360.1174627,596.3040547,5929.820677302858,0.40148448926429026
10.39333786,13.6788009,361.2289032,460.5042448,7888.939014878571,0.40436941463639936
2.140332626,13.48790339,367.6674334,697.2786836,5930.145394720078,0.4149193871764476
9.447574783,12.08499926,365.5013204,523.2438193,7601.8200796034525,0.4124510373621078
5.143826986,20.6631045,360.0858212,225.4345952,15392.130979242605,0.39655741417735557
6.680988993,8.257533911,361.3272549,601.7825743,6051.988806031549,0.40465828558571315
11.87828963,18.45520513,366.7125578,694.1929986,5858.719477021126,0.4139568988233772
2.385873952,15.65438594,363.1405817,148.0295702,23595.50443256752,0.3877446651900098
9.259697935,15.27825471,363.7546155,190.4037843,19569.908976754406,0.4015377930554992
2.826378505,27.58469418,360.3571927,239.711371,14606.634894334591,0.3978871450423326
4.0710645,16.7451361,364.6915614,395.9739855,9881.139415263699,0.41104230348370163
1.742091747,10.33535381,366.7487071,482.5532203,8431.392567622257,0.413920814
8.070469362,21.42528464,366.1032242,134.865089,27264.663595187547,0.39056410527193064
