COP_PHYS,COP_ANN
0.40674334,0.406635088
0.413001814,0.412923167
0.403543919,0.403332062
0.40604848,0.4057549
0.408827964,0.408306936
0.409905081,0.40905746
0.413503576,0.413198452
0.402989273,0.402957243
0.411166184,0.411672121
0.406828003,0.406523317
0.411402415,0.411624858
0.409327161,0.408836722
0.414908074,0.414785981
0.415104188,0.41502962
0.41460924,0.414551951
0.414611305,0.414327333
0.413710535,0.413717558
0.40676893,0.406736753
0.402750056,0.403479347
0.370093073,0.370474879
0.406712887,0.406448312
0.409904425,0.409365582
0.401401078,0.401621616
0.413978454,0.413746516
0.408910656,0.40844221
0.40203873,0.401568258
0.410066573,0.409892264
0.404546621,0.404079368
0.412886861,0.412801022
0.403556193,0.404294762
0.406775264,0.406610785
0.40041963,0.399648444
0.410067965,0.409818651
0.404172323,0.403811394
0.40601669,0.405386422
0.40493041,0.404758443
0.393525877,0.393596183
0.413701842,0.413676039
0.414157166,0.414109503
0.405082998,0.405140898
0.387955947,0.387878501
0.412633363,0.412580837
0.415102499,0.414958806
0.410433685,0.411061302
0.399586392,0.399118216
0.410643964,0.410604227
0.409090065,0.408933703
0.4078978,0.40732264
0.40582489,0.405402279
0.407788792,0.407519518
0.386418938,0.386093712
0.412451037,0.412481927
0.412083503,0.412240915
0.412168328,0.41190475
0.406659412,0.406491675
0.413315117,0.412998525
0.413480946,0.413363406
0.414527137,0.414234359
0.409154522,0.409273671
0.398434497,0.398219455
0.414300951,0.4143168
0.401784713,0.400350448
0.414827,0.414547107
0.413687904,0.413375071
0.380057252,0.3793499
0.400925297,0.400414336
0.40265764,0.402490255
0.40934127,0.408812359
0.413193208,0.413402037
0.409372197,0.409221736
0.399219275,0.399471054
0.406508475,0.406485339
0.410869857,0.410891889
0.409501319,0.409036641
0.410642217,0.410396307
0.39853797,0.397714352
0.393409252,0.393018255
0.395118094,0.395179056
0.406019724,0.406039496
0.405466518,0.404997575
0.403963056,0.403652415
0.391660623,0.391161865
0.393015071,0.392880859
0.4075802,0.407045986
0.411463147,0.411624858
0.378116949,0.377255124
0.404842695,0.404410914
0.40522872,0.404542128
0.410594113,0.410461218
0.412525782,0.412714457
0.407284277,0.406700548
0.402674632,0.402159481
0.41014932,0.410291639
0.404688224,0.404667274
0.410748503,0.41063794
0.363718067,0.3660177
0.403541016,0.402811368
0.409967607,0.409029601
0.398751505,0.39814818
0.412154292,0.412097098
0.405883977,0.405502155
0.411802714,0.411624858
0.41046999,0.410696411
0.414042887,0.413751298
0.413403274,0.41321971
0.412427047,0.412395913
0.404469668,0.404135399
0.40061301,0.400590954
0.412291439,0.412187785
0.410016908,0.41006342
0.412519894,0.412764568
0.413280881,0.413313447
0.410803196,0.41091896
0.406148602,0.405691042
0.411602202,0.411457874
0.386017898,0.385118727
0.374139779,0.373638504
0.414745658,0.414535556
0.37208003,0.370930671
0.402901476,0.402890845
0.398717064,0.398455223
0.404404706,0.404474224
0.391278843,0.391086877
0.413020354,0.412992137
0.405034764,0.404917091
0.378149438,0.377988042
0.41180518,0.411624858
0.413579045,0.413282059
0.406910007,0.406648943
0.408712801,0.408125691
0.403584524,0.403364771
0.409533538,0.40889474
0.396347779,0.395353558
0.40358071,0.403102523
0.414145051,0.413849748
0.405569179,0.405178098
0.400239662,0.399753115
0.40588527,0.406079314
0.404769044,0.404589396
0.401179843,0.401723455
0.408899112,0.408490486
0.404712218,0.404448017
0.400850598,0.401207403
0.401158793,0.401337328
0.401465714,0.401265021
0.398114366,0.397863524
0.409546838,0.409090568
0.404680039,0.404280075
0.414776902,0.414789614
0.414144577,0.41408509
0.39544109,0.395641657
0.400715019,0.400793403
0.410097744,0.409710802
0.414733529,0.414664348
0.406733441,0.406695961
0.406322207,0.406548046
0.40256581,0.402393245
0.411443696,0.411435725
0.412168537,0.412618216
0.411268606,0.411428858
0.408348199,0.407816795
0.40726198,0.406801148
0.409106957,0.408653739
0.40595445,0.405372342
0.408300089,0.408693498
0.395858013,0.396064904
0.402149455,0.401657942
0.403167294,0.40267706
0.405528514,0.405329062
0.414199405,0.414069805
0.408858731,0.408423283
0.411485616,0.411624858
0.414244054,0.414083966
0.409713013,0.409331035
0.390859244,0.390617609
0.413259673,0.413227092
0.413257685,0.412955256
0.414352675,0.414089085
0.396901832,0.396918585
0.412434185,0.412266795
0.40754572,0.40710659
0.381531598,0.382085916
0.403656117,0.403896211
0.397114651,0.396552116
0.409197178,0.408397761
0.375642648,0.374498819
0.402175737,0.402600064
0.411226306,0.411478651
0.41118834,0.411230935
