Qe_ANN_W,Err_Qe_W
8414.292205,63.14861919
26826.41432,400.0096989
14145.53051,75.56160573
16179.15331,96.46299179
24021.08032,-201.6539767
5774.004355,11.02399187
6755.464209,41.57569597
6674.548269,83.62035545
12050.90644,84.64980991
9877.19879,-35.57426786
7171.257062,5.341412696
10861.72893,-30.93901054
7020.235308,-24.69948574
17314.51216,6.460014874
9405.827588,19.82855913
5995.378752,70.80651287
6355.532622,94.27450706
6953.456265,59.59765625
6844.429688,10.33466807
9559.730622,-108.0531869
14578.96473,59.24632509
28673.41865,128.8963447
30331.42282,-273.0104451
9645.228138,65.62723072
28554.00353,-83.4224729
6724.026555,17.9044832
13234.81248,26.96120703
5233.575909,-14.24777301
20743.53121,304.928684
7554.172026,-54.20365104
5895.685746,92.23935928
24272.1852,348.199128
6583.871838,87.80785849
10234.40401,26.85774383
15473.36816,65.37703955
9534.546117,-84.40448249
7333.289674,3.429513105
15748.17511,13.77391606
19283.62211,33.29905701
22090.09125,22.93600147
9755.811277,-15.87144715
6854.025067,12.75456553
23891.73014,-288.2491697
16607.72627,-215.5406493
6370.603254,89.24025454
5773.468291,82.75484879
6899.461327,45.59106778
14399.86493,67.00936148
11004.27422,-18.53549867
9272.306758,35.78572775
15815.68414,37.53182073
25238.21542,-76.01952302
9265.209072,-16.27842168
7773.87356,68.58153869
6803.685136,78.81859577
6946.269972,46.65906919
24153.03437,-153.9854789
17836.26785,62.68832387
9543.450763,4.606156925
7710.545416,-31.94393798
5276.925251,-48.93881071
11931.85893,54.49435855
7844.637932,65.01187767
9844.873215,-48.43106845
5739.278003,27.22460129
14739.80409,116.3646493
9334.871651,-7.497894878
7019.989509,-35.89245207
7938.340586,33.96199224
8468.316655,87.45286543
13053.03413,-99.35380551
17727.49895,-31.31433739
23009.6115,-121.5335674
22386.59027,-68.61715162
5904.488528,86.80266174
7484.924023,-64.40856055
7130.078718,-39.52827507
6463.897774,71.01041666
7568.904284,-49.15106704
8757.261784,67.7853283
19693.87503,82.44798854
6690.49317,56.97296875
8534.361692,61.77334807
8137.320273,69.52681286
15539.52494,1.154285696
9279.834477,21.2809087
10294.72348,-64.63737249
23842.82354,-189.1841949
5273.428153,-82.20024165
17915.68211,35.03456119
15797.58803,-19.76865938
31046.88958,-166.8015442
5388.210116,24.73067564
11744.99618,99.53984498
8181.274332,52.26539953
9046.579905,124.2387401
10896.84057,-27.10246741
24567.25851,-179.7839028
16907.17225,60.2901222
9012.229163,77.65206526
20938.87234,119.4074119
5948.453986,63.25164396
7808.816378,24.79563345
18217.79142,-184.7247602
